A/A;Κωδικός;Κωδ.εργοστασίου;Περιγραφή;Ομάδα;Υποομάδα;Ποσ.1;Αξία;Ποσ.1;Αξία;Ποσ.1;Αξία;Ποσ.1;Αξία;Ποσ.1;Αξία;Ποσ.1;Αξία;Ποσ.1;Αξία;Ποσ.1;Αξία;Κόστος απογραφής;Κόστος πωληθέντων;Αξία πωληθέντων;Κόστος υπολοίπου;Συντελεστής Μ.Κ.;
2085;020463;HikCentral-P-Vibration-Sensor-1Km;HikCentral-P-Vibration-Sensor-1Km;CCTV;LICENSE/SOFTWARE CCTV;20,00;1.073,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20,00;1.073,40;0,00;0,00;20,00;1.073,40;1.073,40;0,00;0,00;1.073,41;0,00;
2086;020465;BOOKCASE_DEKKO;Βιβλιοθήκη της σειράς DEKKO, Διάσταση 2μ χ 0,9μ;ΛΟΙΠΑ;ΛΟΙΠΑ ΠΑΡΕΛΚΟΜΕΝΑ;1,00;290,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;290,00;0,00;0,00;1,00;290,00;290,00;0,00;0,00;290,00;0,00;
2087;020468;DS-KD8003-IME1(B)/Surface;KD8 Series Pro Modular Door Station;INTERCOM;ΘΥΡΟΤΗΛΕΟΡΑΣΕΙΣ;3,00;315,24;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;315,24;0,00;0,00;3,00;315,24;315,24;0,00;0,00;315,24;0,00;
2088;020473;EX802;ZK TECO - PUSH-EX802;ACCESS CONTROL;BUTTONS;1,00;3,20;0,00;0,00;0,00;0,00;0,00;0,00;1,00;4,71;1,00;3,20;1,00;4,71;0,00;0,00;3,20;3,20;4,71;0,00;32,06;
2089;020496;TQ1602-E;Conduit Back Box AXIS;CCTV;ΠΑΡΕΛΚΟΜΕΝΑ CCTV/ACCESSORIES;6,00;774,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;774,00;0,00;0,00;6,00;774,00;774,00;0,00;0,00;774,00;0,00;
2090;020505;OPU4P;Κουτί πλαστικό OPU 3P Προστασία με διπλό τάμπερ;INTRUSION/BA;ΠΑΡΕΛΚΟΜΕΝΑ INTRUSION/BA;8,00;130,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;130,25;0,00;0,00;8,00;130,25;130,25;0,00;0,00;130,25;0,00;
2091;020506;PN10002;ΚΑΘΕΤΗ ΒΑΣΗ ΣΤΗΡΙΞΗΣ ΓΙΑ OUTGATE ΛΕΥΚΗ SIRSEN;INTRUSION/BA;ΠΕΡΙΜΕΤΡΙΚΑ BA;4,00;9,60;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;9,60;0,00;0,00;4,00;9,60;9,60;0,00;0,00;9,60;0,00;
2092;020520;209-30-DEMEMS16F;Dell Memory 16GB 1Rx8 DDR5 UDIMM 5600MT/s ECC, for SERVER T360, R360;IT;PC/SERVER;3,00;537,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;537,00;0,00;0,00;3,00;537,00;537,00;0,00;0,00;537,00;0,00;
2093;020527;DBD-70A;ADDRESSABLE BEAM SMOKE DETECTOR WITH ISOLATOR;FIRE DETECTION;ΑΝΙΧΝΕΥΤΕΣ FIRE ADDRESSABLE;4,00;1.430,36;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2.060,00;4,00;1.430,36;0,00;2.060,00;4,00;1.430,36;1.430,36;1.430,36;2.060,00;1.430,36;30,57;
2094;020540;908691;Cable floor-detector holder BHX 1000,d=20 to 25 mm (0.79 to 0.98 inch);FIRE DETECTION;SPARE PARTS FIRE DETECTION;1,00;33,63;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;33,63;0,00;0,00;1,00;33,63;33,63;0,00;0,00;33,63;0,00;
2095;020557;32MR50C;"LG Monitor 32"" 32MR50C";IT;ΟΘΟΝΕΣ;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;2,00;0,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00;545,16;0,00;0,00;0,00;
2096;020558;LIGHTSYS-LCDP;RISCO LCD πληκτρολόγιο με μπλε οπίσθιο φωτισμό και καρταναγνώστη (proximity tag);INTRUSION/BA;ΠΛΗΚΤΡΟΛΟΓΙΑ BA;2,00;124,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;178,00;2,00;124,00;0,00;178,00;2,00;124,00;124,00;124,00;178,00;124,00;30,34;
2097;020560;LIGHTSYS PLUS PSTN;LightSYS Plus PSTN MODULE;INTRUSION/BA;ΠΑΡΕΛΚΟΜΕΝΑ INTRUSION/BA;1,00;50,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;69,00;1,00;50,00;0,00;69,00;1,00;50,00;50,00;50,00;69,00;50,00;27,54;
2098;020566;DS-QFV1002;Distributed Vibration Fiber-Optic Sensing Server 10KM Dual-Ch;CCTV;ΠΑΡΕΛΚΟΜΕΝΑ CCTV/ACCESSORIES;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;
2099;020567;SE2725H;Dell 27 Monitor - SE2725H;IT;ΟΘΟΝΕΣ;3,00;274,37;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;274,37;0,00;0,00;3,00;274,37;274,37;0,00;0,00;274,37;0,00;
2100;020569;GRI-413PWG-G;"Industrial Surface Mount Switch Set, Wide Gap, DPDT, Gray, Standard Terminals, 36"" 2 Conductor Vinyl Jacketed Cable";INTRUSION/BA;ΕΠΑΦΕΣ BA;1,00;19,92;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;19,92;0,00;0,00;1,00;19,92;19,92;0,00;0,00;19,92;0,00;
2101;020570;NDR-480-48;480W 48V DC Single Output Industrial DIN Rall Power Supply;ΛΟΙΠΑ;ΤΡΟΦΟΔΟΤΙΚΑ;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;
2102;020575;RC-1ZEXP;Επέκταση μιας ζώνης;INTRUSION/BA;ΠΛΑΚΕΤΕΣ/ΕΠΕΚΤΑΣΕΙΣ BA;58,00;870,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.682,00;58,00;870,00;0,00;1.682,00;58,00;870,00;870,00;870,00;1.682,00;870,00;48,28;
2103;020600;PCEM-TK00GIY;Κάρτα Proximity με τυπωμένο κωδικό. Λευκή Gloss, ZK-teco;ACCESS CONTROL;CARDS/TAGS (ACCESS);0,00;0,00;0,00;0,00;0,00;0,00;100,00;32,00;100,00;90,00;100,00;32,00;100,00;90,00;0,00;0,00;0,00;32,00;90,00;0,00;64,44;
2104;020604;PSG2-24V3A;PULSAR PSG2 27,6V/3A ENCLOSED BUFFER SWITCH MODE POWER SUPPLY UNIT GRADE 2;INTRUSION/BA;ΠΑΡΕΛΚΟΜΕΝΑ INTRUSION/BA;4,00;98,87;0,00;0,00;0,00;0,00;2,00;49,40;0,00;0,00;6,00;148,27;0,00;0,00;6,00;148,30;98,87;0,00;0,00;148,29;0,00;
2105;020615;0311-0163-10;RM-4 Replacement Board for RM2L-4000 Reader;ACCESS CONTROL;ΠΑΡΕΛΚΟΜΕΝΑ ACCESS CONTROL;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;
2106;020618;SP-6500 R;Εξωτερική σειρήνα με οπτικοακουστική ένδειξη;INTRUSION/BA;ΣΕΙΡΗΝΕΣ BA;1,00;40,88;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;40,88;0,00;0,00;1,00;40,88;40,88;0,00;0,00;40,88;0,00;
2107;020624;FPC-ZIP-SM-APC-DUP-A-L-YE-020;Οπτικά Patch Cords SM LC-LC APC 2m;ΛΟΙΠΑ;ΚΑΛΩΔΙΑ;150,00;1.414,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;150,00;1.414,50;0,00;0,00;150,00;1.414,50;1.414,50;0,00;0,00;1.414,50;0,00;
2108;020625;CAT6A-SFTP-26-A-L-010-AABBCC-DD;CAT6A S/FTP 26AWG patch cord LSZH, gray, 1m;ΛΟΙΠΑ;ΚΑΛΩΔΙΑ;13,00;55,38;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;55,38;0,00;0,00;13,00;55,38;55,38;0,00;0,00;55,38;0,00;
2109;020626;CAT6A-SFTP-26-A-L-030-AABBCC-DD;CAT6A S/FTP 26AWG patch cord LSZH, gray, 3m;ΛΟΙΠΑ;ΚΑΛΩΔΙΑ;2,00;11,96;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;11,96;0,00;0,00;2,00;11,96;11,96;0,00;0,00;11,96;0,00;
2110;020636;PN15096;BERICA CAVI - ALARM CABLE 6 καλώδιο συναγερμού 6 x 0.22mm;INTRUSION/BA;ΠΑΡΕΛΚΟΜΕΝΑ INTRUSION/BA;1,00;26,10;0,00;0,00;0,00;0,00;1,00;26,10;1,00;45,00;2,00;52,20;1,00;45,00;1,00;26,10;26,10;26,10;45,00;26,10;42,00;
2111;020641;R/U-AMS-1131-CH–INCH;Ultra Exit Antenna Only Charcoal w Inox Charcoal Base;EAS;ANTENNA;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;
2112;020656;FP3/KEY;CQR FP3/KEY Spare Key for Manual Call Point;ACCESS CONTROL;ΠΑΡΕΛΚΟΜΕΝΑ ACCESS CONTROL;4,00;9,84;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;9,84;0,00;0,00;4,00;9,84;9,84;0,00;0,00;9,84;0,00;
2113;020658;R/U-ZS1121-SC;Ultra Exit 2.4m Acrylic Antenna Only Inox Black;EAS;ANTENNA;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;
2114;020659;138W-E91;Electric strike 138W-E91;ACCESS CONTROL;ΗΛΕΚΤΡΟΜΑΓΝΗΤΕΣ/ΚΥΠΡΙ/ΗΛΕΚΤΡΙΚΕΣ ΚΛΕΙΔΑΡΙΕΣ;10,00;1.255,70;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;10,00;1.255,70;10,00;0,00;0,00;0,00;1.255,70;0,00;0,00;0,00;0,00;
2115;020662;R/U-ZS1092-CH-SC;UE 2.0M ABS ANTENNA ONLY CH INOX BLACK;EAS;ANTENNA;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;
2116;020663;R/U-ZS1132-CH-SC;ULTRA EXIT 2.4M BLACK/BROWN/CHALCOAL ABS INOX BLACK;EAS;ANTENNA;16,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;16,00;0,00;0,00;0,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;
2117;020669;DS-KIS602(B);KIT θυροτηλεόρασης IP μιας κλήσης, με ανάλυση 2MP και απομακρυσμένο έλεγχο;INTERCOM;ΘΥΡΟΤΗΛΕΟΡΑΣΕΙΣ;2,00;445,48;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;2,00;445,48;2,00;0,00;0,00;0,00;445,48;0,00;0,00;0,00;0,00;
2118;020671;R/U-ZS1180-CH-SS;R/U - 1180 Synergy Antenna 2.5m Charcoal Inox;EAS;ANTENNA;17,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;17,00;0,00;0,00;0,00;17,00;0,00;0,00;0,00;0,00;0,00;0,00;
2119;020672;R/U-ZS1180-CH-SC;R/U - 1180 Synergy Antenna 2.5m Charcoal Inox Black;EAS;ANTENNA;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;
2120;020673;R/U-ZS1180-CH no Base;R/U - 1180 Synergy Antenna 2.5m Charcoal no Base;EAS;ANTENNA;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;
2121;020678;DS-PD1-MC-RS;Magnetic contact for rolling door;INTRUSION/BA;ΕΠΑΦΕΣ BA;14,00;112,43;0,00;0,00;0,00;0,00;0,00;98,00;0,00;0,00;14,00;210,43;0,00;0,00;14,00;98,00;112,43;0,00;0,00;98,00;0,00;
2122;020690;PDU08DE;Power distribution unit, 7 schuko, ON/OFF switch, Breaker;IT;ΠΑΡΕΛΚΟΜΕΝΑ IT;3,00;66,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;66,00;0,00;0,00;3,00;66,00;66,00;0,00;0,00;66,00;0,00;
2123;020691;LXMSC24KIT3;Κασετίνες τερματισμού;IT;ΠΑΡΕΛΚΟΜΕΝΑ IT;6,00;16,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;16,80;0,00;0,00;6,00;16,80;16,80;0,00;0,00;16,80;0,00;
2124;020710;ISC-PB1-100;LATCHING PANIC BUTTON ISC-PB1-100 BOSCH;FIRE DETECTION;ACCESSORIES FIRE CONVENTIONAL;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;
2125;020711;R/U-ZSSB-E1180-SS;Refurbished Base CVR EAS 1180/1190 SS;EAS;BASE EAS;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;
2126;020712;R/U-CA-330W;Refurbished Signal Repeater for Inditex White;EAS;SPARE PARTS EAS;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;11,00;0,00;1,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;
2127;020714;SP5606-0091-01;PWR SPLY12V/1.7A 40W UNIV;ΛΟΙΠΑ;ΤΡΟΦΟΔΟΤΙΚΑ;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;
2128;020715;R/U-ZP1060-G;R/U DIGITAL REMOTE ALARM, GRAY;EAS;SPARE PARTS EAS;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;
2129;020745;DS-1297ZJ;CEILING MOUNTING SUPPORT;CCTV;MOUNTS/PLATES/BRACKETS/BOXES;4,00;82,34;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;82,34;0,00;0,00;4,00;82,34;82,34;0,00;0,00;82,34;0,00;
2130;020763;DS-2CE56D0T-IT3F(2.8mm)(C);2 MP Fixed Turret Camera with 40 m IR distance;CCTV;ΚΑΜΕΡΕΣ DOME;29,00;489,11;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;29,00;489,11;0,00;0,00;29,00;489,11;489,11;0,00;0,00;489,11;0,00;
2131;020793;DCM/200/112;DCM200 Two Door Controller Module mounted in enclosure with 12V DC PSU;ACCESS CONTROL;ΚΕΝΤΡΙΚΕΣ ΜΟΝΑΔΕΣ/CONTROLLERS ACCESS;3,00;828,12;0,00;0,00;0,00;0,00;2,00;1.196,96;2,00;1.742,00;5,00;2.025,08;2,00;1.742,00;3,00;828,12;828,12;552,08;1.742,00;828,12;68,31;
2132;020795;704910;Spare glass pane for MCP housing 70490x, 7048xx and 761694/97;FIRE DETECTION;MCP CONVENTIONAL;10,00;14,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;14,50;0,00;0,00;10,00;14,50;14,50;0,00;0,00;14,50;0,00;
2133;020797;NED-9234195;uPASS Go for the EMEA region, including Mount Set ( uPass Go certiffied readers for other Regions available on demand);ACCESS CONTROL;READERS;6,00;7.582,98;0,00;0,00;0,00;0,00;0,00;0,00;2,00;3.927,46;6,00;7.582,98;2,00;3.927,46;4,00;5.055,32;7.582,98;2.527,66;3.927,46;5.055,32;35,64;
2134;020805;S54370-F10-A1;FDCAI221 Addressable alarm indicator;FIRE DETECTION;SPARE PARTS FIRE DETECTION;0,00;0,00;0,00;0,00;0,00;0,00;2,00;53,33;2,00;74,00;2,00;53,33;2,00;74,00;0,00;0,00;0,00;53,33;74,00;0,00;27,93;
2135;020832;DS-7616NI-M2;Καταγραφικό NVR 16 καναλιών 32MP, δέχεται 2 σκληρούς δίσκους;CCTV;ΚΑΤΑΓΡΑΦΙΚΑ NVR/DVR;1,00;0,00;0,00;0,00;0,00;0,00;0,00;252,00;0,00;0,00;1,00;252,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;
2136;020845;KC600-256GB;KINGSTON SSD KC600 Series SKC600/256G;IT;ΣΚΛΗΡΟΙ ΔΙΣΚΟΙ;1,00;25,72;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;25,72;0,00;0,00;1,00;25,72;25,72;0,00;0,00;25,72;0,00;
2137;020848;BAW50T-24;PSU 24V 1.8A Extended Input Voltage Range;ACCESS CONTROL;ΠΑΡΕΛΚΟΜΕΝΑ ACCESS CONTROL;3,00;120,54;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;120,54;0,00;0,00;3,00;120,54;120,54;0,00;0,00;120,54;0,00;
2138;020950;NED-9567593;Mounting set extension for uPASS Go;ACCESS CONTROL;READERS;6,00;805,03;0,00;0,00;0,00;0,00;0,00;0,00;2,00;401,57;6,00;805,03;2,00;401,57;4,00;536,68;805,03;268,34;401,57;536,68;33,18;
2139;020951;NED-9567658;Weather protection hood for uPASS Go;ACCESS CONTROL;ΠΑΡΕΛΚΟΜΕΝΑ ACCESS CONTROL;5,00;412,86;0,00;0,00;0,00;0,00;1,00;81,10;2,00;247,11;6,00;493,96;2,00;247,11;4,00;327,34;412,86;163,67;247,11;327,34;33,77;
2140;020954;PLA-ADAP-V2-ARC-NO;Stackable spacer with cable passage for Architect® : Architect® Blue reader - Possible mounting on the door mullions - Black;ACCESS CONTROL;READERS;215,00;0,00;0,00;0,00;0,00;0,00;0,00;3.556,68;0,00;0,00;215,00;3.556,68;0,00;0,00;215,00;3.556,74;0,00;0,00;0,00;3.556,68;0,00;
2141;020971;V7001B-DC;Ultimax BNC male;IT;ΠΑΡΕΛΚΟΜΕΝΑ IT;49,00;60,76;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;49,00;60,76;0,00;0,00;49,00;60,76;60,76;0,00;0,00;60,76;0,00;
2142;021022;ADVER96R5N2K;VideoEdge 2U HC NVR, 96TB RAID 5 (112TB Raw), (2) 10GbE, (2) 2.5GbE, Dual PSU, RAID 1 OS;CCTV;ΚΑΤΑΓΡΑΦΙΚΑ NVR/DVR;18,00;0,00;0,00;0,00;0,00;0,00;0,00;195.038,46;0,00;0,00;18,00;195.038,46;0,00;0,00;18,00;195.038,46;0,00;0,00;0,00;195.038,46;0,00;
2143;021031;IFS02-D12-OIB4;Illustra Flex Gen4 (Rev B) 2MP Minidome, Motorised 2.7-13.5mm, AI, TDN w/IR, TWDR, EIS, IP66/67, IK10, Clear Bubble;CCTV;ΚΑΜΕΡΕΣ DOME;81,00;14.347,29;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;81,00;14.347,29;0,00;0,00;81,00;14.347,29;14.347,29;0,00;0,00;14.347,28;0,00;
2144;021197;HWN-2108MH-8P(D);Καταγραφικό NVR PoE 8 καναλιών 4MP, δέχεται 1 σκληρό δίσκο;CCTV;ΚΑΤΑΓΡΑΦΙΚΑ NVR/DVR;0,00;0,00;0,00;0,00;0,00;0,00;1,00;95,00;1,00;126,67;1,00;95,00;1,00;126,67;0,00;0,00;0,00;95,00;126,67;0,00;25,00;
2145;021302;516.016.170;ProReact EN LHD Cable - 78°C - 100m Reel;LEAKAGE DETECTION;SENSOR (LEAKAGE);0,00;0,00;0,00;0,00;0,00;0,00;100,00;174,27;100,00;297,00;100,00;174,27;100,00;297,00;0,00;0,00;0,00;174,27;297,00;0,00;41,32;
2146;021386;555.800.042;DIM800 detector input monitor module with M520 front cover;FIRE DETECTION;MODULE FIRE ADDRESSABLE;8,00;515,72;0,00;0,00;0,00;0,00;0,00;0,00;8,00;438,40;8,00;515,72;8,00;438,40;0,00;0,00;515,72;322,33;438,40;0,00;26,48;
2147;021402;557.201.504;CCU3/C-MXMB Mounting plate;FIRE DETECTION;MODULE FIRE ADDRESSABLE;0,00;0,00;0,00;0,00;0,00;0,00;1,00;39,62;0,00;0,00;1,00;39,62;0,00;0,00;1,00;39,62;0,00;0,00;0,00;39,62;0,00;
2148;021433;557.202.920;Spare PFI801 PCBA;FIRE DETECTION;SPARE PARTS FIRE DETECTION;1,00;431,94;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;431,94;1,00;0,00;0,00;0,00;431,94;0,00;0,00;0,00;0,00;
2149;021510;812008FULL-0109X;Solista LX wall beacon red body white flash deep base EN54-23 W-2.4 7.5 VAD;FIRE DETECTION;ACCESSORIES FIRE CONVENTIONAL;3,00;98,51;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;3,00;98,51;3,00;0,00;0,00;0,00;98,51;0,00;0,00;0,00;0,00;
2150;021597;JC002-25;45? Bend 25mm RED - MOQ 5;FIRE DETECTION;VESDA & PIPING;0,00;0,00;0,00;0,00;0,00;0,00;80,00;184,00;80,00;280,00;80,00;184,00;80,00;280,00;0,00;0,00;0,00;0,00;280,00;0,00;100,00;
2151;021763;DS-2CD6365G1-IVS(1.16mm);6 MP DeepinView Fisheye Network Camera;CCTV;ΚΑΜΕΡΕΣ FISHEYE;0,00;0,00;0,00;0,00;0,00;0,00;1,00;330,00;0,00;0,00;1,00;330,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;
2152;021780;RCT223NAAA;Μαύρη Μελανοταινία 2.000 όψεων Evolis RCT223NAAA;ACCESS CONTROL;ΠΑΡΕΛΚΟΜΕΝΑ ACCESS CONTROL;2,00;38,26;0,00;0,00;0,00;0,00;1,00;19,55;1,00;0,00;3,00;57,81;1,00;0,00;2,00;38,26;38,26;19,13;0,00;38,26;0,00;
2153;021781;DS-2DE4A425IWG-E;4-inch 4 MP 25X Powered by DarkFighter IR Network Speed Dome;CCTV;ΚΑΜΕΡΕΣ DOME;0,00;0,00;0,00;0,00;0,00;0,00;2,00;750,36;2,00;1.000,48;2,00;750,36;2,00;1.000,48;0,00;0,00;0,00;750,36;1.000,48;0,00;25,00;
2154;021782;DS-KH9510-WTE1(B);All-in-one Indoor Station;ACCESS CONTROL;ΚΕΝΤΡΙΚΕΣ ΜΟΝΑΔΕΣ/CONTROLLERS ACCESS;0,00;0,00;0,00;0,00;0,00;0,00;1,00;217,56;1,00;0,00;1,00;217,56;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
2155;021796;ND100 GLT;Μπουτόν πανικού, Bosch;FIRE DETECTION;ACCESSORIES FIRE CONVENTIONAL;4,00;51,91;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-2,00;4,00;51,91;0,00;-2,00;4,00;51,92;51,91;0,00;-2,00;51,92;100,00;
2156;021809;DS-6916UDI(C);Ultra High Definition Decoder;CCTV;ΚΑΤΑΓΡΑΦΙΚΑ NVR/DVR;3,00;5.146,19;0,00;0,00;0,00;0,00;0,00;6.090,00;0,00;0,00;3,00;11.236,19;0,00;0,00;3,00;6.090,00;5.146,19;0,00;0,00;6.090,00;0,00;
2157;021827;DS-2CD2346G2P-ISU/SL;4 MP Panoramic AcuSense Fixed Turret Network Camera;CCTV;ΚΑΜΕΡΕΣ PANORAMIC;0,00;0,00;0,00;0,00;0,00;0,00;1,00;116,92;1,00;116,92;1,00;116,92;1,00;116,92;0,00;0,00;0,00;0,00;0,00;0,00;0,00;
2158;021828;18108373;Hydrogen 2% in air, 112L (112DA);FIRE DETECTION;SPARE PARTS FIRE DETECTION;1,00;295,74;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;295,74;0,00;0,00;1,00;295,74;295,74;0,00;0,00;295,74;0,00;
2159;021842;CRL-01-60-833/C;PATCH CORD 5Μ S/FTP CAT6A 4Ζ;IT;ΠΑΡΕΛΚΟΜΕΝΑ IT;8,00;62,19;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;62,19;0,00;0,00;8,00;62,19;62,19;0,00;0,00;62,19;0,00;
2160;021843;CRL-01-60-834/C;PATCH CORD 10Μ S/FTP CAT6A 4Ζ;IT;ΠΑΡΕΛΚΟΜΕΝΑ IT;19,00;232,67;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;19,00;232,67;0,00;0,00;19,00;232,67;232,67;0,00;0,00;232,67;0,00;
2161;021846;WD121PURP;Western Digital Purple Pro Surveillance 12TB HDD;IT;ΣΚΛΗΡΟΙ ΔΙΣΚΟΙ;16,00;3.972,58;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;16,00;3.972,58;0,00;0,00;16,00;3.972,58;3.972,58;0,00;0,00;3.972,58;0,00;
2162;021880;70-79-1208C;PATCH PANEL OΠTIKO 8Θ LC 19'' 1U SM CENTRAL;IT;ΔΙΚΤΥΑΚΑ;0,00;0,00;0,00;0,00;0,00;0,00;1,00;64,78;1,00;95,26;1,00;64,78;1,00;95,26;0,00;0,00;0,00;64,78;95,26;0,00;32,00;
2163;021886;SMARTY/GFR;ΣΕΙΡΗΝΑ ΠΥΡΑΣΦΑΛΕΙΑΣ ΜΕ FLASH ΚΟΚΚΙΝΟ;FIRE DETECTION;ΣΕΙΡΗΝΕΣ FIRE ADDRESSABLE;9,00;109,41;0,00;0,00;0,00;0,00;11,00;120,45;1,00;14,05;20,00;229,86;1,00;14,05;19,00;228,68;109,41;12,04;14,05;228,68;14,33;
2164;021887;IC0020B;Μπουτόν ακύρωσης κατάσβεσης ΜΠΛΕ επανατάξιμο συμβατικό,θερμοπλαστικό περίβλημα;FIRE DETECTION;SPARE PARTS FIRE DETECTION;0,00;0,00;0,00;0,00;0,00;0,00;2,00;22,64;2,00;29,63;2,00;22,64;2,00;29,63;0,00;0,00;0,00;22,64;29,63;0,00;23,59;
2165;021903;LUMIN8-DELTA;RISCO LUMIN8 με οπίσθιο φωτισμό;INTRUSION/BA;ΣΕΙΡΗΝΕΣ BA;2,00;168,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;240,00;2,00;168,00;0,00;240,00;2,00;168,00;168,00;168,00;240,00;168,00;30,00;
2166;021933;ZKBioCVSecurity for 50 doors;Web-based λογισμικό προγραμματισμού και διαχείρισης της σειράς PRO για 50 πόρτες;ACCESS CONTROL;LICENSE/SOFTWARE ACCESS CONTROL;1,00;820,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1.000,00;1,00;820,00;1,00;1.000,00;0,00;0,00;820,00;820,00;1.000,00;0,00;18,00;
